(1,0.3333333333333333),3
(2,1.0),4
(3,13.0),5
(4,0.5087719298245614),7
(5,1.0617919670442841),8
(6,6.83399209486166),9
(7,0.4910382080193401),11
(8,0.9735154829683608),12
(9,4.519090170593014),13
(10,0.464212330696414),15
(11,0.8903009336766966),16
(12,3.349636101605317),17
(13,0.4390449528253627),19
(14,0.8182449434315306),20
(15,2.6476030346556265),21
(16,0.4159179129580144),23
(17,0.7555975404523667),24
(18,2.1797673995153475),25
(19,0.39462936400338533),27
(20,0.7006635175834185),28
(21,1.845785150734739),29
(22,0.3749756569363262),31
(23,0.652115013745825),32
(24,1.595462608950646),33
(25,0.35678047846449035),35
(26,0.6089113639615988),36
(27,1.4009131642091375),37
(28,0.3398918654012643),39
(29,0.5702262897465664),40
(30,1.2454047666947545),41
(31,23.606373793457784),42
(32,0.5353954467663602),44
(33,1.1182897311091822),45
(34,8.667154936203813),46
(35,0.5038786095795277),48
(36,1.0124695882518384),49
(37,5.259083768795708),50
(38,0.4752319776885372),52
(39,0.9230300021521309),53
(40,3.749380568009142),54
(41,0.44908757971180463),56
(42,0.846460722547089),57
(43,2.8976119002331724),58
(44,0.4251377402701332),60
(45,0.7801875563614565),61
(46,2.35075932614753),62
(47,0.4031232148459098),64
(48,0.722279849885622),65
(49,1.970039910446531),66
(50,0.38282402037055163),68
(51,0.6712612125410101),69
(52,1.6897988186384945),70
(53,0.36405227307109317),72
(54,0.6259833327266954),73
(55,1.4749495350954012),74
(56,0.34664653898179454),76
(57,0.5855396412962272),77
(58,1.3050382913793734),78
(59,76.87084622474745),79
(60,0.5492048759940555),81
(61,1.1673361059947367),82
(62,11.720437791948132),83
(63,0.5163919131983218),85
(64,1.05350661314447),86
(65,6.2747558705462865),87
(66,0.48662037282704135),89
(67,0.957861746000413),90
(68,4.2518163749059),91
(69,0.45949341327095944),93
(70,0.8763874685387861),94
(71,3.1965401012102714),95
(72,0.43468032759526215),97
(73,0.8061701324459037),98
(74,2.548768360818788),99
(75,0.41190331665482743),101
(76,0.7450435902150264),102
(77,2.110761459893967),103
(78,0.3909273145693341),105
(79,0.691363925218506),106
(80,1.794903610876433),107
(81,0.371552075205637),109
(82,0.6438610166739629),110
(83,1.5564101248560558),111
(84,0.3536059544155555),113
(85,0.6015380094922497),114
(86,1.3700051318877593),115
(87,0.33694097870876727),117
(88,0.5636015724543978),118
(89,1.2203419448588964),119
(90,18.000515516203613),120
(91,0.5294124782036463),122
(92,1.097563428923698),123
(93,7.758718764890581),124
(94,0.498449916601411),126
(95,0.9950489425867973),127
(96,4.902428103914254),128
(97,0.4702852860974159),130
(98,0.908186760485309),131
(99,3.560288845018928),132
