(1,0.3333333333333333)
(2,1.0)
(3,13.0)
(4,0.5087719298245614)
(5,1.0617919670442841)
(6,6.83399209486166)
(7,0.4910382080193401)
(8,0.9735154829683608)
(9,4.519090170593014)
(10,0.464212330696414)
(11,0.8903009336766966)
(12,3.349636101605317)
(13,0.4390449528253627)
(14,0.8182449434315306)
(15,2.6476030346556265)
(16,0.4159179129580144)
(17,0.7555975404523667)
(18,2.1797673995153475)
(19,0.39462936400338533)
(20,0.7006635175834185)
(21,1.845785150734739)
(22,0.3749756569363262)
(23,0.652115013745825)
(24,1.595462608950646)
(25,0.35678047846449035)
(26,0.6089113639615988)
(27,1.4009131642091375)
(28,0.3398918654012643)
(29,0.5702262897465664)
(30,1.2454047666947545)
(31,23.606373793457784)
(32,0.5353954467663602)
(33,1.1182897311091822)
(34,8.667154936203813)
(35,0.5038786095795277)
(36,1.0124695882518384)
(37,5.259083768795708)
(38,0.4752319776885372)
(39,0.9230300021521309)
(40,3.749380568009142)
(41,0.44908757971180463)
(42,0.846460722547089)
(43,2.8976119002331724)
(44,0.4251377402701332)
(45,0.7801875563614565)
(46,2.35075932614753)
(47,0.4031232148459098)
(48,0.722279849885622)
(49,1.970039910446531)
(50,0.38282402037055163)
(51,0.6712612125410101)
(52,1.6897988186384945)
(53,0.36405227307109317)
(54,0.6259833327266954)
(55,1.4749495350954012)
(56,0.34664653898179454)
(57,0.5855396412962272)
(58,1.3050382913793734)
(59,76.87084622474745)
(60,0.5492048759940555)
(61,1.1673361059947367)
(62,11.720437791948132)
(63,0.5163919131983218)
(64,1.05350661314447)
(65,6.2747558705462865)
(66,0.48662037282704135)
(67,0.957861746000413)
(68,4.2518163749059)
(69,0.45949341327095944)
(70,0.8763874685387861)
(71,3.1965401012102714)
(72,0.43468032759526215)
(73,0.8061701324459037)
(74,2.548768360818788)
(75,0.41190331665482743)
(76,0.7450435902150264)
(77,2.110761459893967)
(78,0.3909273145693341)
(79,0.691363925218506)
(80,1.794903610876433)
(81,0.371552075205637)
(82,0.6438610166739629)
(83,1.5564101248560558)
(84,0.3536059544155555)
(85,0.6015380094922497)
(86,1.3700051318877593)
(87,0.33694097870876727)
(88,0.5636015724543978)
(89,1.2203419448588964)
(90,18.000515516203613)
(91,0.5294124782036463)
(92,1.097563428923698)
(93,7.758718764890581)
(94,0.498449916601411)
(95,0.9950489425867973)
(96,4.902428103914254)
(97,0.4702852860974159)
(98,0.908186760485309)
(99,3.560288845018928)
(100,0.44456265079243495)
(101,0.8336658329035614)
(102,2.7807352962603877)
(103,0.42098396577469666)
(104,0.7690474372063762)
(105,2.2714473947952745)
(106,0.3992977664578245)
(107,0.7124956490210473)
(108,1.9127265924326435)
(109,0.3792904100399807)
(110,0.662601931177044)
(111,1.6464661538307026)
(112,0.3607792216011146)
(113,0.6182676063109224)
(114,1.4410507615979038)
(115,0.34360707852498)
(116,0.578623090401084)
(117,1.2778040663504175)
(118,38.3522700663883)
(119,0.5429711372141748)
(120,1.1449837806014238)
(121,10.131727276881787)
(122,0.5107461589605065)
(123,1.0348369446879995)
(124,5.778053962307552)
(125,0.48148455007135443)
(126,0.9420383827350374)
(127,4.012482064551078)
(128,0.45480269167626874)
(129,0.862809388978606)
(130,3.056200785423916)
(131,0.4303804134772334)
(132,0.7943943403417264)
(133,2.456661300172114)
(134,0.40794839601913563)
(135,0.734736395578885)
(136,2.045718215485545)
(137,0.38727845987289666)
(138,0.6822691980087917)
(139,1.7465488702550405)
(140,0.36817599829587766)
(141,0.6357788948499772)
(142,1.5190663738309964)
(143,0.35047402096922403)
(144,0.59431025471695)
(145,1.3403060335400976)
(146,0.3340284223626714)
(147,0.5571012722536928)
(148,1.196165640377431)
(149,14.534103167208418)
(150,0.5235366607329651)
(151,1.0775064046876053)
(152,7.01976143527713)
(153,0.49311416034240935)
(154,0.9781458937415765)
(155,4.589810828079168)
(156,0.4654197229665934)
(157,0.8937520151917897)
(158,3.388648767613629)
(159,0.44010895983871046)
(160,0.8211989672815765)
(161,2.6724723748200394)
(162,0.41689308243719014)
(163,0.7581746910205553)
(164,2.1970016480202434)
(165,0.3955281162840217)
(166,0.7029322455831182)
(167,1.858425953577569)
(168,0.3758065319414714)
